order_id,date,customer_age,gender,country,category,unit_price,quantity,discount,payment_method,order_status,customer_rating,revenue,year,month,month_name,weekday,quarter,age_group
Ord-10784,2022-09-19 08:00:00,50,Other,France,Electronics,33.0,1,0.09,Paypal,Completed,3,30.03,2022,9,Sep,Monday,3,46-55
Ord-10504,2022-06-18 00:00:00,46,Female,Uk,Sports,76.38,12,0.21,Crypto,Cancelled,4,724.08,2022,6,Jun,Saturday,2,46-55
Ord-10894,2022-10-26 00:00:00,50,Other,Canada,Clothing,15.01,2,0.39,Bank Transfer,Completed,5,18.31,2022,10,Oct,Wednesday,4,46-55
Ord-11125,2023-01-11 00:00:00,28,Male,Australia,Toys,73.86,8,0.33,Debit Card,Refunded,5,395.89,2023,1,Jan,Wednesday,1,26-35
Ord-10356,2022-04-29 16:00:00,68,Female,Australia,Beauty,115.23,9,0.07,Bank Transfer,Pending,5,964.48,2022,4,Apr,Friday,2,56-70
Ord-10350,2022-04-27 16:00:00,39,Male,France,Toys,62.93,14,0.22,Paypal,Completed,2,687.2,2022,4,Apr,Wednesday,2,36-45
Ord-10619,2022-07-26 08:00:00,54,Other,Uk,Home & Garden,46.54,6,0.05,Bank Transfer,Cancelled,5,265.28,2022,7,Jul,Tuesday,3,46-55
Ord-10712,2022-08-26 08:00:00,27,Female,France,Sports,116.68,6,0.11,Bank Transfer,Completed,1,623.07,2022,8,Aug,Friday,3,26-35
Ord-10378,2022-05-07 00:00:00,63,Female,Germany,Toys,184.91,8,0.12,Credit Card,Completed,4,1301.77,2022,5,May,Saturday,2,56-70
Ord-10757,2022-09-10 08:00:00,20,Female,Uk,Toys,143.25,2,0.36,Debit Card,Completed,3,183.36,2022,9,Sep,Saturday,3,18-25
Ord-11155,2023-01-21 00:00:00,54,Other,Usa,Sports,60.78,8,0.39,Credit Card,Refunded,5,296.61,2023,1,Jan,Saturday,1,46-55
Ord-11079,2022-12-26 16:00:00,32,Male,Brazil,Food & Beverage,18.63,2,0.25,Credit Card,Pending,3,27.94,2022,12,Dec,Monday,4,26-35
Ord-10453,2022-06-01 00:00:00,69,Male,France,Electronics,236.03,13,0.01,Credit Card,Completed,4,1462.3449999999998,2022,6,Jun,Wednesday,2,56-70
Ord-10447,2022-05-30 00:00:00,39,Male,France,Beauty,42.2,3,0.35,Debit Card,Completed,5,82.29,2022,5,May,Monday,2,36-45
Ord-10703,2022-08-23 08:00:00,62,Female,Brazil,Beauty,145.28,2,0.3,Debit Card,Completed,4,203.39,2022,8,Aug,Tuesday,3,56-70
Ord-10797,2022-09-23 16:00:00,64,Other,Germany,Food & Beverage,77.02,1,0.4,Crypto,Cancelled,3,46.21,2022,9,Sep,Friday,3,56-70
Ord-10160,2022-02-23 08:00:00,69,Female,Australia,Beauty,24.83,9,0.17,Debit Card,Completed,4,185.48,2022,2,Feb,Wednesday,1,56-70
Ord-10254,2022-03-26 16:00:00,65,Male,Australia,Books,99.52,14,0.32,Paypal,Completed,4,947.43,2022,3,Mar,Saturday,1,56-70
Ord-10841,2022-10-08 08:00:00,43,Female,Usa,Food & Beverage,29.62,12,0.32,Bank Transfer,Pending,5,241.7,2022,10,Oct,Saturday,4,36-45
Ord-10257,2022-03-27 16:00:00,26,Female,Canada,Books,8.61,10,0.28,Paypal,Completed,3,61.99,2022,3,Mar,Sunday,1,26-35
Ord-11009,2022-12-03 08:00:00,56,Male,Germany,Clothing,27.32,3,0.19,Debit Card,Completed,1,66.39,2022,12,Dec,Saturday,4,56-70
Ord-10128,2022-02-12 16:00:00,65,Male,Brazil,Beauty,72.41,3,0.25,Bank Transfer,Pending,1,162.92,2022,2,Feb,Saturday,1,56-70
Ord-10846,2022-10-10 00:00:00,68,Female,Usa,Electronics,249.85750000000002,4,0.06,Credit Card,Pending,3,1462.3449999999998,2022,10,Oct,Monday,4,56-70
Ord-10119,2022-02-09 16:00:00,56,Other,France,Electronics,151.5,12,0.14,Credit Card,Refunded,2,1462.3449999999998,2022,2,Feb,Wednesday,1,56-70
Ord-10153,2022-02-21 00:00:00,43,Other,France,Beauty,41.09,8,0.08,Paypal,Completed,4,302.42,2022,2,Feb,Monday,1,36-45
Ord-10787,2022-09-20 08:00:00,45,Male,Usa,Toys,204.84,13,0.25,Credit Card,Completed,5,1462.3449999999998,2022,9,Sep,Tuesday,3,36-45
Ord-10776,2022-09-16 16:00:00,45,Female,Brazil,Sports,45.85,8,0.16,Crypto,Completed,3,308.11,2022,9,Sep,Friday,3,36-45
Ord-10572,2022-07-10 16:00:00,61,Female,Brazil,Clothing,8.57,6,0.34,Credit Card,Completed,5,33.94,2022,7,Jul,Sunday,3,56-70
Ord-10667,2022-08-11 08:00:00,52,Other,Uk,Toys,45.52,7,0.4,Crypto,Completed,4,191.18,2022,8,Aug,Thursday,3,46-55
Ord-10906,2022-10-30 00:00:00,27,Male,Uk,Home & Garden,128.45,8,0.08,Credit Card,Cancelled,5,945.39,2022,10,Oct,Sunday,4,26-35
Ord-10403,2022-05-15 08:00:00,41,Male,Germany,Books,174.0,12,0.39,Crypto,Completed,5,1273.68,2022,5,May,Sunday,2,36-45
Ord-10615,2022-07-25 00:00:00,49,Male,Germany,Home & Garden,47.62,1,0.25,Bank Transfer,Completed,5,35.71,2022,7,Jul,Monday,3,46-55
Ord-10372,2022-05-05 00:00:00,66,Other,Brazil,Electronics,5.41,4,0.36,Bank Transfer,Completed,4,13.85,2022,5,May,Thursday,2,56-70
Ord-10628,2022-07-29 08:00:00,34,Male,Usa,Beauty,5.73,8,0.17,Debit Card,Completed,5,38.05,2022,7,Jul,Friday,3,26-35
Ord-10491,2022-06-13 16:00:00,18,Other,Brazil,Books,199.28,8,0.24,Credit Card,Completed,5,1211.62,2022,6,Jun,Monday,2,18-25
Ord-10450,2022-05-31 00:00:00,43,Female,Usa,Books,5.08,9,0.28,Bank Transfer,Completed,4,32.92,2022,5,May,Tuesday,2,36-45
Ord-10767,2022-09-13 16:00:00,29,Female,India,Beauty,19.55,11,0.04,Credit Card,Completed,5,206.45,2022,9,Sep,Tuesday,3,26-35
Ord-10618,2022-07-26 00:00:00,49,Other,India,Clothing,13.2,11,0.24,Paypal,Completed,5,110.35,2022,7,Jul,Tuesday,3,46-55
Ord-10245,2022-03-23 16:00:00,34,Female,Usa,Food & Beverage,249.85750000000002,12,0.07,Credit Card,Completed,3,1462.3449999999998,2022,3,Mar,Wednesday,1,26-35
Ord-11170,2023-01-26 00:00:00,31,Female,Germany,Electronics,170.88,9,0.1,Debit Card,Completed,5,1384.13,2023,1,Jan,Thursday,1,26-35
Ord-10985,2022-11-25 08:00:00,19,Female,Australia,Clothing,44.16,3,0.07,Bank Transfer,Completed,4,123.21,2022,11,Nov,Friday,4,18-25
Ord-10057,2022-01-20 00:00:00,64,Other,India,Sports,37.29,8,0.24,Paypal,Completed,4,226.72,2022,1,Jan,Thursday,1,56-70
Ord-10224,2022-03-16 16:00:00,54,Female,Uk,Home & Garden,83.11,1,0.01,Debit Card,Pending,5,82.28,2022,3,Mar,Wednesday,1,46-55
Ord-10292,2022-04-08 08:00:00,69,Other,Usa,Home & Garden,249.85750000000002,1,0.32,Credit Card,Completed,4,255.81,2022,4,Apr,Friday,2,56-70
Ord-10260,2022-03-28 16:00:00,46,Male,France,Toys,69.92,6,0.06,Credit Card,Refunded,3,394.35,2022,3,Mar,Monday,1,46-55
Ord-10390,2022-05-11 00:00:00,69,Other,Brazil,Toys,167.09,4,0.02,Credit Card,Refunded,4,654.99,2022,5,May,Wednesday,2,56-70
Ord-10817,2022-09-30 08:00:00,66,Other,India,Food & Beverage,56.23,3,0.27,Crypto,Completed,5,123.14,2022,9,Sep,Friday,3,56-70
Ord-10377,2022-05-06 16:00:00,46,Female,India,Books,14.27,8,0.12,Bank Transfer,Completed,4,100.46,2022,5,May,Friday,2,46-55
Ord-10342,2022-04-25 00:00:00,24,Male,Usa,Food & Beverage,144.99,12,0.34,Credit Card,Completed,4,1148.32,2022,4,Apr,Monday,2,18-25
Ord-10647,2022-08-04 16:00:00,69,Other,Canada,Food & Beverage,40.3,3,0.07,Debit Card,Pending,4,112.44,2022,8,Aug,Thursday,3,56-70
Ord-10386,2022-05-09 16:00:00,63,Female,India,Clothing,67.78,8,0.11,Bank Transfer,Completed,3,482.59,2022,5,May,Monday,2,56-70
Ord-10129,2022-02-13 00:00:00,40,Male,France,Clothing,179.76,7,0.18,Credit Card,Completed,4,1031.82,2022,2,Feb,Sunday,1,36-45
Ord-10141,2022-02-17 00:00:00,64,Female,Uk,Beauty,12.27,9,0.17,Credit Card,Completed,5,91.66,2022,2,Feb,Thursday,1,56-70
Ord-10565,2022-07-08 08:00:00,29,Female,Uk,Toys,57.2,11,0.16,Crypto,Cancelled,2,528.53,2022,7,Jul,Friday,3,26-35
Ord-10669,2022-08-12 00:00:00,46,Male,Brazil,Toys,97.66,13,0.13,Bank Transfer,Completed,1,1104.53,2022,8,Aug,Friday,3,46-55
Ord-10542,2022-06-30 16:00:00,49,Other,France,Toys,15.61,8,0.27,Crypto,Completed,4,91.16,2022,6,Jun,Thursday,2,46-55
Ord-10396,2022-05-13 00:00:00,35,Other,Uk,Books,217.84,9,0.08,Bank Transfer,Completed,5,1462.3449999999998,2022,5,May,Friday,2,26-35
Ord-10685,2022-08-17 08:00:00,26,Female,Usa,Clothing,109.99,4,0.31,Bank Transfer,Completed,1,303.57,2022,8,Aug,Wednesday,3,26-35
Ord-10083,2022-01-28 16:00:00,32,Female,Uk,Sports,24.89,12,0.39,Credit Card,Pending,3,182.19,2022,1,Jan,Friday,1,26-35
Ord-10154,2022-02-21 08:00:00,59,Female,Germany,Food & Beverage,7.79,13,0.38,Credit Card,Completed,3,62.79,2022,2,Feb,Monday,1,56-70
Ord-10225,2022-03-17 00:00:00,66,Other,India,Home & Garden,56.43,10,0.07,Credit Card,Completed,5,524.8,2022,3,Mar,Thursday,1,56-70
Ord-10285,2022-04-06 00:00:00,43,Female,India,Home & Garden,91.7,6,0.12,Bank Transfer,Completed,5,484.18,2022,4,Apr,Wednesday,2,36-45
Ord-10063,2022-01-22 00:00:00,31,Male,Brazil,Toys,23.41,14,0.12,Crypto,Completed,5,288.41,2022,1,Jan,Saturday,1,26-35
Ord-10376,2022-05-06 08:00:00,47,Male,Usa,Beauty,249.85750000000002,3,0.22,Credit Card,Completed,4,624.48,2022,5,May,Friday,2,46-55
Ord-10318,2022-04-17 00:00:00,57,Male,Usa,Beauty,8.69,5,0.29,Credit Card,Completed,5,30.85,2022,4,Apr,Sunday,2,56-70
Ord-10681,2022-08-16 00:00:00,63,Other,Usa,Home & Garden,229.83,5,0.26,Credit Card,Completed,4,850.37,2022,8,Aug,Tuesday,3,56-70
Ord-11142,2023-01-16 16:00:00,52,Male,Uk,Clothing,42.63,9,0.33,Debit Card,Cancelled,2,257.06,2023,1,Jan,Monday,1,46-55
Ord-10234,2022-03-20 00:00:00,50,Other,Brazil,Food & Beverage,5.19,2,0.11,Bank Transfer,Completed,4,9.24,2022,3,Mar,Sunday,1,46-55
Ord-10953,2022-11-14 16:00:00,63,Female,Usa,Home & Garden,41.31,6,0.3,Credit Card,Completed,5,173.5,2022,11,Nov,Monday,4,56-70
Ord-10852,2022-10-12 00:00:00,57,Female,Usa,Electronics,86.77,13,0.14,Credit Card,Completed,2,970.09,2022,10,Oct,Wednesday,4,56-70
Ord-11159,2023-01-22 08:00:00,43,Female,Australia,Sports,126.28,6,0.3,Crypto,Completed,4,530.38,2023,1,Jan,Sunday,1,36-45
Ord-10982,2022-11-24 08:00:00,40,Other,France,Electronics,64.64,1,0.22,Paypal,Completed,5,50.42,2022,11,Nov,Thursday,4,36-45
Ord-10124,2022-02-11 08:00:00,25,Other,France,Home & Garden,22.46,10,0.28,Crypto,Completed,2,161.71,2022,2,Feb,Friday,1,18-25
Ord-10259,2022-03-28 08:00:00,33,Other,Usa,Clothing,249.85750000000002,4,0.26,Debit Card,Completed,5,1462.3449999999998,2022,3,Mar,Monday,1,26-35
Ord-10805,2022-09-26 08:00:00,50,Male,Brazil,Food & Beverage,28.62,12,0.37,Paypal,Completed,5,216.37,2022,9,Sep,Monday,3,46-55
Ord-11128,2023-01-12 00:00:00,43,Male,Germany,Clothing,19.03,4,0.21,Crypto,Completed,3,60.13,2023,1,Jan,Thursday,1,36-45
Ord-11019,2022-12-06 16:00:00,27,Other,Usa,Clothing,233.94,1,0.07,Debit Card,Pending,3,217.56,2022,12,Dec,Tuesday,4,26-35
Ord-10587,2022-07-15 16:00:00,43,Other,Germany,Food & Beverage,48.02,9,0.06,Debit Card,Pending,5,406.25,2022,7,Jul,Friday,3,36-45
Ord-10559,2022-07-06 08:00:00,52,Other,Uk,Toys,8.33,3,0.13,Credit Card,Cancelled,1,21.74,2022,7,Jul,Wednesday,3,46-55
Ord-10480,2022-06-10 00:00:00,43,Other,India,Food & Beverage,56.02,5,0.08,Credit Card,Completed,5,257.69,2022,6,Jun,Friday,2,36-45
Ord-11004,2022-12-01 16:00:00,54,Female,Usa,Sports,60.35,5,0.12,Credit Card,Completed,1,265.54,2022,12,Dec,Thursday,4,46-55
Ord-10086,2022-01-29 16:00:00,40,Female,India,Toys,249.85750000000002,10,0.36,Debit Card,Completed,5,1462.3449999999998,2022,1,Jan,Saturday,1,36-45
Ord-10574,2022-07-11 08:00:00,30,Male,Usa,Beauty,6.69,9,0.18,Paypal,Refunded,4,49.37,2022,7,Jul,Monday,3,26-35
Ord-10463,2022-06-04 08:00:00,22,Other,Uk,Sports,167.03,4,0.04,Paypal,Pending,3,641.4,2022,6,Jun,Saturday,2,18-25
Ord-11143,2023-01-17 00:00:00,18,Other,Australia,Clothing,66.9,12,0.23,Bank Transfer,Pending,3,618.16,2023,1,Jan,Tuesday,1,18-25
Ord-10536,2022-06-28 16:00:00,53,Female,Brazil,Electronics,22.94,9,0.26,Debit Card,Completed,3,152.78,2022,6,Jun,Tuesday,2,46-55
Ord-10080,2022-01-27 16:00:00,31,Male,Canada,Clothing,34.86,7,0.0,Crypto,Pending,5,244.02,2022,1,Jan,Thursday,1,26-35
Ord-11146,2023-01-18 00:00:00,46,Other,France,Beauty,151.59,1,0.16,Paypal,Completed,5,127.34,2023,1,Jan,Wednesday,1,46-55
Ord-11126,2023-01-11 08:00:00,32,Other,Australia,Home & Garden,172.74,6,0.05,Credit Card,Cancelled,4,984.62,2023,1,Jan,Wednesday,1,26-35
Ord-10152,2022-02-20 16:00:00,32,Other,Canada,Books,144.49,1,0.38,Bank Transfer,Cancelled,2,89.58,2022,2,Feb,Sunday,1,26-35
Ord-11085,2022-12-28 16:00:00,61,Male,Germany,Food & Beverage,68.9,8,0.1,Credit Card,Refunded,3,496.08,2022,12,Dec,Wednesday,4,56-70
Ord-10042,2022-01-15 00:00:00,68,Other,India,Home & Garden,249.85750000000002,4,0.15,Credit Card,Completed,3,1462.3449999999998,2022,1,Jan,Saturday,1,56-70
Ord-10116,2022-02-08 16:00:00,50,Other,Uk,Toys,64.82,5,0.16,Debit Card,Completed,1,272.24,2022,2,Feb,Tuesday,1,46-55
Ord-11131,2023-01-13 00:00:00,48,Male,Australia,Food & Beverage,113.29,7,0.12,Debit Card,Completed,3,697.87,2023,1,Jan,Friday,1,46-55
Ord-10721,2022-08-29 08:00:00,37,Female,France,Beauty,173.23,2,0.03,Debit Card,Completed,4,336.07,2022,8,Aug,Monday,3,36-45
Ord-10236,2022-03-20 16:00:00,36,Male,India,Home & Garden,5.42,3,0.36,Debit Card,Completed,3,10.41,2022,3,Mar,Sunday,1,36-45
Ord-11064,2022-12-21 16:00:00,43,Male,Uk,Beauty,5.84,2,0.37,Debit Card,Completed,2,7.36,2022,12,Dec,Wednesday,4,36-45
Ord-11061,2022-12-20 16:00:00,57,Female,Brazil,Books,25.69,3,0.01,Credit Card,Pending,2,76.3,2022,12,Dec,Tuesday,4,56-70
Ord-10233,2022-03-19 16:00:00,49,Female,Uk,Sports,11.48,11,0.3,Debit Card,Completed,5,88.4,2022,3,Mar,Saturday,1,46-55
Ord-10959,2022-11-16 16:00:00,44,Male,Uk,Clothing,117.28,11,0.23,Credit Card,Completed,3,993.36,2022,11,Nov,Wednesday,4,36-45
Ord-11099,2023-01-02 08:00:00,31,Male,Uk,Electronics,85.86,13,0.2,Credit Card,Completed,4,892.94,2023,1,Jan,Monday,1,26-35
Ord-10770,2022-09-14 16:00:00,25,Other,Brazil,Clothing,93.72,4,0.3,Debit Card,Completed,5,262.42,2022,9,Sep,Wednesday,3,18-25
Ord-10305,2022-04-12 16:00:00,65,Male,Canada,Home & Garden,45.64,7,0.02,Credit Card,Completed,4,313.09,2022,4,Apr,Tuesday,2,56-70
Ord-11002,2022-12-01 00:00:00,32,Male,Brazil,Food & Beverage,29.72,10,0.37,Debit Card,Completed,4,187.24,2022,12,Dec,Thursday,4,26-35
Ord-10581,2022-07-13 16:00:00,52,Other,France,Toys,24.93,11,0.05,Credit Card,Refunded,4,260.52,2022,7,Jul,Wednesday,3,46-55
Ord-11161,2023-01-23 00:00:00,42,Other,Brazil,Beauty,16.86,12,0.26,Credit Card,Completed,5,149.72,2023,1,Jan,Monday,1,36-45
Ord-10262,2022-03-29 08:00:00,37,Other,Usa,Beauty,35.02,2,0.22,Crypto,Cancelled,4,54.63,2022,3,Mar,Tuesday,1,36-45
Ord-10088,2022-01-30 08:00:00,43,Female,Australia,Beauty,70.19,10,0.31,Paypal,Completed,5,484.31,2022,1,Jan,Sunday,1,36-45
Ord-10053,2022-01-18 16:00:00,43,Other,Brazil,Beauty,26.53,7,0.17,Crypto,Completed,4,154.14,2022,1,Jan,Tuesday,1,36-45
Ord-10594,2022-07-18 00:00:00,21,Male,Canada,Food & Beverage,62.72,3,0.04,Debit Card,Pending,3,180.63,2022,7,Jul,Monday,3,18-25
Ord-10211,2022-03-12 08:00:00,49,Other,Usa,Clothing,80.41,9,0.14,Paypal,Completed,4,622.37,2022,3,Mar,Saturday,1,46-55
Ord-10935,2022-11-08 16:00:00,46,Other,India,Food & Beverage,249.26,8,0.34,Credit Card,Completed,3,1316.09,2022,11,Nov,Tuesday,4,46-55
Ord-10172,2022-02-27 08:00:00,30,Other,Usa,Toys,46.21,5,0.3,Paypal,Completed,4,161.73,2022,2,Feb,Sunday,1,26-35
