order_ID,Date,Customer_Age,Gender,Country,Category,Unit_Price,Quantity,Discount,Payment_Method,Order_Status,Customer_Rating,Revenue
ORD-10784,2022-09-19 08:00:00,50.0,Other,France,Electronics,33.0,1,0.09,PayPal,Completed,3.0,30.03
ORD-10504,2022-06-18 00:00:00,46.0,Female,UK,Sports,76.38,12,0.21,Crypto,Cancelled,4.0,724.08
ORD-10894,2022-10-26 00:00:00,50.0,Other,Canada,Clothing,15.01,2,0.39,Bank Transfer,Completed,5.0,18.31
ORD-11125,2023-01-11 00:00:00,28.0,Male,Australia,Toys,73.86,8,0.33,Debit Card,Refunded,5.0,395.89
ORD-10356,2022-04-29 16:00:00,68.0,Female,Australia,Beauty,115.23,9,0.07,Bank Transfer,Pending,5.0,964.48
ORD-10350,2022-04-27 16:00:00,39.0,Male,France,Toys,62.93,14,0.22,PayPal,Completed,2.0,687.2
ORD-10619,2022-07-26 08:00:00,54.0,Other,UK,Home & Garden,46.54,6,0.05,Bank Transfer,Cancelled,5.0,265.28
ORD-10712,2022-08-26 08:00:00,27.0,Female,France,Sports,116.68,6,0.11,Bank Transfer,Completed,1.0,623.07
ORD-10378,2022-05-07 00:00:00,63.0,Female,Germany,Toys,184.91,8,0.12,Credit Card,Completed,4.0,1301.77
ORD-10757,2022-09-10 08:00:00,20.0,Female,UK,Toys,143.25,2,0.36,Debit Card,Completed,3.0,183.36
ORD-11155,2023-01-21 00:00:00,54.0,Other,USA,Sports,60.78,8,0.39,Credit Card,Refunded,5.0,296.61
ORD-11079,2022-12-26 16:00:00,32.0,Male,Brazil,Food & Beverage,18.63,2,0.25,Credit Card,Pending,3.0,27.94
ORD-10453,2022-06-01 00:00:00,69.0,Male,France,Electronics,236.03,13,0.01,Credit Card,Completed,4.0,3037.71
ORD-10447,2022-05-30 00:00:00,39.0,Male,France,beauty,42.2,3,0.35,Debit Card,Completed,5.0,82.29
ORD-10703,2022-08-23 08:00:00,62.0,Female,Brazil,Beauty,145.28,2,0.3,Debit Card,Completed,4.0,203.39
ORD-10797,2022-09-23 16:00:00,64.0,Other,Germany,Food & Beverage,77.02,1,0.4,Crypto,Cancelled,3.0,46.21
ORD-10160,2022-02-23 08:00:00,69.0,Female,Australia,Beauty,24.83,9,0.17,Debit Card,Completed,4.0,185.48
ORD-10254,2022-03-26 16:00:00,65.0,Male,Australia,Books,99.52,14,0.32,PayPal,Completed,,947.43
ORD-10841,2022-10-08 08:00:00,,Female,USA,Food & Beverage,29.62,12,0.32,Bank Transfer,Pending,5.0,241.7
ORD-10257,2022-03-27 16:00:00,26.0,Female,Canada,Books,8.61,10,0.28,PayPal,Completed,3.0,61.99
ORD-11009,2022-12-03 08:00:00,56.0,Male,Germany,Clothing,27.32,3,0.19,Debit Card,Completed,1.0,66.39
ORD-10128,2022-02-12 16:00:00,65.0,Male,Brazil,Beauty,72.41,3,0.25,Bank Transfer,Pending,1.0,162.92
ORD-10846,2022-10-10 00:00:00,68.0,Female,USA,Electronics,6933.081933806311,4,0.06,Credit Card,Pending,3.0,26068.39
ORD-10119,2022-02-09 16:00:00,56.0,Other,France,Electronics,151.5,12,0.14,,Refunded,2.0,1563.48
ORD-10153,2022-02-21 00:00:00,43.0,Other,France,Beauty,41.09,8,0.08,PayPal,Completed,4.0,302.42
ORD-10787,2022-09-20 08:00:00,45.0,Male,USA,Toys,204.84,13,0.25,Credit Card,Completed,5.0,1997.19
ORD-10776,2022-09-16 16:00:00,45.0,Female,Brazil,Sports,45.85,8,0.16,Crypto,Completed,3.0,308.11
ORD-10572,2022-07-10 16:00:00,61.0,Female,Brazil,Clothing,8.57,6,0.34,Credit Card,Completed,5.0,33.94
ORD-10667,2022-08-11 08:00:00,52.0,Other,UK,TOYS,45.52,7,0.4,Crypto,Completed,4.0,191.18
ORD-10906,2022-10-30 00:00:00,27.0,Male,UK,home & garden,128.45,8,0.08,,Cancelled,5.0,945.39
ORD-10403,2022-05-15 08:00:00,41.0,Male,Germany,Books,174.0,12,0.39,Crypto,Completed,5.0,1273.68
ORD-10615,2022-07-25 00:00:00,49.0,Male,Germany,Home & Garden,47.62,1,0.25,Bank Transfer,Completed,5.0,35.71
ORD-10372,2022-05-05 00:00:00,66.0,Other,Brazil,Electronics,5.41,4,0.36,Bank Transfer,Completed,4.0,13.85
ORD-10628,2022-07-29 08:00:00,34.0,Male,USA,Beauty,5.73,8,0.17,Debit Card,Completed,5.0,38.05
ORD-10491,2022-06-13 16:00:00,18.0,,Brazil,Books,199.28,8,0.24,Credit Card,Completed,5.0,1211.62
ORD-10450,2022-05-31 00:00:00,,Female,USA,Books,5.08,9,0.28,Bank Transfer,Completed,,32.92
ORD-10767,2022-09-13 16:00:00,29.0,Female,India,Beauty,19.55,11,0.04,Credit Card,Completed,5.0,206.45
ORD-10618,2022-07-26 00:00:00,49.0,Other,India,Clothing,13.2,11,0.24,PayPal,Completed,5.0,110.35
ORD-10245,2022-03-23 16:00:00,34.0,Female,USA,Food & Beverage,258.93,12,0.07,,Completed,3.0,2889.66
ORD-11170,2023-01-26 00:00:00,31.0,Female,Germany,Electronics,170.88,9,0.1,Debit Card,Completed,5.0,1384.13
ORD-10985,2022-11-25 08:00:00,19.0,Female,Australia,Clothing,44.16,3,0.07,Bank Transfer,Completed,,123.21
